Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Les Corts;70;3;1;875 _;µtico
Esquerra Alta de lïEixample;242;4;3;2.450 _;Piso
Sant Ramon - Maternitat;135;4;2;1.550 _;Piso
Putget - Farr¢;112;3;4;1.200 _;Piso
Sant Antoni;85;3;2;1.050 _;Piso
St. Pere - Sta. Caterina - El Born;70;2;1;1.150 _;Piso
Badal;60;;1;850 _;Estudio
Dreta de lïEixample;78;3;2;1.450 _;Piso
Pedralbes;200;4;3;2.800 _;Piso
Esquerra Alta de lïEixample;144;5;2;1.400 _;Piso
Raval;55;2;1;750 _;D£plex
Les Corts;140;5;3;2.015 _;Piso
Dreta de lïEixample;50;;1;825 _;Piso
Les Corts;76;2;2;1.350 _;Piso
Camp dïen Grassot - Gr…cia N.;65;3;1;890 _;Piso
Putget - Farr¢;60;2;1;800 _;Apartamento
Dreta de lïEixample;74;3;1;1.100 _;Apartamento
Barceloneta;36;;1;975 _;µtico
Sant Antoni;80;4;2;4.566 _;Apartamento
Vila de Gr…cia;70;3;1;950 _;Piso
Sant Gervasi - Bonanova;66;2;1;975 _;µtico
Vallcarca - Penitents;85;3;2;1.200 _;Piso
Sant Andreu;135;3;2;950 _;Piso
Sant Ramon - Maternitat;53;;1;720 _;Loft
Sant Gervasi - Galvany;73;2;2;1.650 _;Piso
Raval;81;3;1;1.300 _;Apartamento
Dreta de lïEixample;148;2;2;1.895 _;Piso
Sant Antoni;75;3;1;1.000 _;Piso
Putget - Farr¢;108;3;2;1.000 _;Piso
Sant Gervasi - Galvany;73;2;2;1.300 _;Piso
Sant Gervasi - Bonanova;65;2;2;1.060 _;Piso
Sarri…;97;3;2;1.400 _;Piso
Esquerra Alta de lïEixample;110;3;2;1.350 _;Piso
Sagrada Fam¡lia;50;;1;950 _;Piso
Sants;85;3;2;1.300 _;Piso
Dreta de lïEixample;135;4;2;1.550 _;Piso
Congr‚s - Indians;75;3;2;900 _;Piso
Hostafrancs;70;3;2;1.050 _;Planta
Dreta de lïEixample;135;4;3;2.200 _;Piso
Vila de Gr…cia;52;2;1;920 _;Piso
Sarri…;640;7;7;7.700 _;Casa
Tres Torres;140;3;2;2.500 _;Piso
Guinard¢;85;3;2;875 _;Piso
Poblenou;90;3;2;1.500 _;Apartamento
Camp dïen Grassot - Gr…cia N.;58;2;1;895 _;Piso
Congr‚s - Indians;70;2;1;800 _;Piso
Sant Gervasi - Bonanova;70;;1;850 _;Piso
G•tic;45;;1;1.500 _;µtico
Les Corts;120;3;2;1.800 _;Piso
Porta;54;3;1;800 _;Piso
Sants;76;2;2;1.100 _;Piso
Fort Pienc;51;2;1;940 _;Piso
Pedralbes;280;3;5;3.600 _;Piso
Sant Gervasi - Galvany;70;2;2;1.100 _;Piso
Sant Gervasi - Galvany;415;5;5;8.000 _;µtico
Vila de Gr…cia;88;2;2;1.375 _;Piso
Sant Gervasi - Galvany;117;3;2;1.700 _;Piso
Poblenou;73;2;2;1.300 _;Piso
Putget - Farr¢;51;2;1;950 _;µtico
Les Corts;75;2;1;975 _;Piso
Esquerra Alta de lïEixample;75;3;1;1.000 _;Piso
Les Corts;84;3;2;1.300 _;Piso
Pedralbes;140;3;3;1.850 _;Piso
Sants;150;2;1;1.500 _;D£plex
Sants;60;2;1;925 _;Piso
Raval;96;3;2;1.995 _;Piso
Vallcarca - Penitents;63;2;2;900 _;Piso
Sagrada Fam¡lia;93;4;2;1.200 _;Piso
Poble Sec;50;;1;730 _;Piso
Badal;55;2;1;1.200 _;Apartamento
Vila de Gr…cia;58;;1;1.805 _;Piso
St. Pere - Sta. Caterina - El Born;38;;1;650 _;Piso
El Clot;47;;1;875 _;Apartamento
Navas;69;2;1;1.443 _;Piso
Sarri…;101;3;2;2.150 _;µtico
Raval;75;3;1;1.000 _;Apartamento
St. Pere - Sta. Caterina - El Born;45;;1;950 _;µtico
Sant Gervasi - Bonanova;68;2;1;1.000 _;Piso
Gl•ries El Parc;80;3;1;1.021 _;Piso
Dreta de lïEixample;148;3;2;1.970 _;Piso
Sagrada Fam¡lia;89;4;2;1.000 _;Piso
Carmel;55;3;1;700 _;Piso
Vallcarca - Penitents;41;;1;750 _;Piso
Sagrada Fam¡lia;86;4;2;975 _;Piso
Sagrada Fam¡lia;85;4;1;975 _;Piso
Camp de lïArpa;60;2;1;800 _;Piso
Les Corts;60;3;1;850 _;Piso
Badal;55;2;1;1.200 _;Piso
Sagrada Fam¡lia;74;4;1;990 _;Piso
Sarri…;143;4;2;2.000 _;Piso
Sant Antoni;100;3;2;1.450 _;Piso
Taxonera;83;3;2;1.300 _;Piso
Sant Gervasi - Bonanova;63;2;1;950 _;Piso
Tres Torres;50;;1;1.100 _;Piso
Putget - Farr¢;151;3;2;1.700 _;Piso
Esquerra Alta de lïEixample;120;4;2;1.400 _;Piso
St. Pere - Sta. Caterina - El Born;101;2;1;1.160 _;Piso
El Coll;93;3;2;1.100 _;Piso
Diagonal Mar - La Mar Bella;153;2;2;2.500 _;Piso
Dreta de lïEixample;220;3;2;2.200 _;Piso
Esquerra Alta de lïEixample;120;4;2;1.400 _;Piso
Les Corts;99;4;1;1.140 _;Piso
Esquerra Alta de lïEixample;117;4;2;1.400 _;Apartamento
Poblenou;110;4;2;1.300 _;Piso
Poblenou;70;3;1;857 _;Piso
St. Pere - Sta. Caterina - El Born;60;2;1;795 _;Piso
Sagrada Fam¡lia;77;3;1;1.150 _;Piso
Esquerra Baixa de lïEixample;77;4;1;1.075 _;Piso
Putget - Farr¢;78;2;1;1.100 _;Piso
Putget - Farr¢;110;3;1;950 _;µtico
Esquerra Alta de lïEixample;81;3;2;1.300 _;Piso
Sagrada Fam¡lia;60;3;2;1.000 _;Piso
Les Corts;122;4;3;2.280 _;Piso
Bes•s - Maresme;71;3;1;800 _;Piso
Esquerra Alta de lïEixample;80;2;2;1.100 _;Piso
Poble Sec;30;;1;600 _;Loft
Sagrada Fam¡lia;70;3;1;900 _;Piso
Sant Gervasi - Galvany;149;3;2;3.600 _;Piso
Camp de lïArpa;65;2;1;1.050 _;Apartamento
Barceloneta;50;2;1;850 _;Piso
G•tic;103;2;1;1.600 _;Piso
Camp de lïArpa;100;4;2;1.250 _;Piso
Camp de lïArpa;63;;1;800 _;Piso
Barceloneta;36;;1;600 _;Piso
Putget - Farr¢;80;3;1;950 _;Piso
St. Pere - Sta. Caterina - El Born;90;;1;1.070 _;Piso
Sagrada Fam¡lia;105;3;2;1.300 _;Piso
Barceloneta;40;2;1;800 _;µtico
Sant Gervasi - Galvany;102;3;2;1.400 _;Piso
Sagrada Fam¡lia;80;4;1;990 _;Piso
Sant Antoni;80;3;2;1.200 _;Piso
Esquerra Baixa de lïEixample;90;3;1;1.000 _;Piso
Dreta de lïEixample;87;2;2;1.360 _;Piso
Putget - Farr¢;130;4;3;1.700 _;Piso
Esquerra Baixa de lïEixample;150;4;2;2.100 _;Piso
Fort Pienc;85;3;2;1.150 _;Piso
Tres Torres;147;4;3;3.100 _;Piso
Dreta de lïEixample;60;;1;950 _;Apartamento
Sagrada Fam¡lia;75;3;1;950 _;Piso
Vila de Gr…cia;82;2;1;1.100 _;Piso
Camp dïen Grassot - Gr…cia N.;70;3;1;890 _;Piso
Dreta de lïEixample;152;4;2;2.500 _;Piso
Sant Ramon - Maternitat;70;3;2;1.000 _;Piso
St. Pere - Sta. Caterina - El Born;115;2;2;2.900 _;Piso
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 _;Piso
Gl•ries El Parc;68;2;1;1.100 _;Piso
Dreta de lïEixample;180;2;2;3.500 _;Piso
Sagrada Fam¡lia;90;4;2;1.000 _;Piso
Font de la Guatlla;70;2;1;900 _;Apartamento
Sant Gervasi - Galvany;139;3;1;1.600 _;Piso
Tres Torres;143;4;3;2.150 _;Piso
Dreta de lïEixample;140;4;3;2.100 _;Piso
Dreta de lïEixample;55;;1;990 _;Apartamento
Navas;71;3;1;1.000 _;Piso
St. Pere - Sta. Caterina - El Born;56;;1;890 _;Piso
El Coll;67;2;1;700 _;Piso
Esquerra Alta de lïEixample;95;3;2;1.300 _;Piso
Sant Gervasi - Galvany;220;5;3;3.200 _;Piso
Tres Torres;201;4;2;3.750 _;Piso
Camp dïen Grassot - Gr…cia N.;95;4;1;1.125 _;Piso
Camp de lïArpa;72;2;1;800 _;Piso
Pedralbes;172;4;3;2.500 _;Piso
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 _;Piso
Poble Sec;70;3;1;1.200 _;Planta
Sants;50;2;1;700 _;µtico
Pedralbes;172;4;3;2.500 _;Piso
G•tic;39;;1;725 _;Piso
Esquerra Alta de lïEixample;90;3;2;1.300 _;Piso
Vila Ol¡mpica;169;3;2;1.500 _;Piso
Raval;50;2;1;940 _;Piso
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 _;Apartamento
Poblenou;115;3;2;1.440 _;Piso
La Salut;70;2;1;900 _;Piso
G•tic;60;2;1;1.100 _;Piso
Poble Sec;70;3;1;900 _;Piso
Dreta de lïEixample;90;3;1;1.030 _;Piso
Dreta de lïEixample;88;2;1;1.350 _;Piso
Sants;42;2;1;700 _;Piso
Sant Gervasi - Bonanova;100;3;2;1.300 _;Piso
Sant Gervasi - Galvany;193;4;3;3.500 _;Piso
Sant Gervasi - Galvany;117;2;2;1.800 _;Piso
Guinard¢;45;;1;690 _;Piso
Les Corts;110;3;2;1.500 _;Piso
Sagrada Fam¡lia;40;;1;850 _;Piso
Raval;74;2;1;1.350 _;Piso
Les Corts;100;3;2;1.100 _;Piso
Sants;49;2;1;800 _;Piso
Camp dïen Grassot - Gr…cia N.;101;2;2;1.490 _;µtico
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 _;Piso
Dreta de lïEixample;85;3;1;900 _;Piso
Font dïen Fargas;97;4;2;1.300 _;Piso
Sant Antoni;102;3;1;1.100 _;Piso
G•tic;90;2;1;830 _;Piso
Camp dïen Grassot - Gr…cia N.;85;2;1;1.260 _;µtico
Sagrada Fam¡lia;125;3;2;1.406 _;Piso
Pedralbes;180;3;2;2.200 _;µtico
Sagrada Fam¡lia;115;3;2;1.350 _;Piso
Sants;65;3;1;880 _;Piso
Les Corts;120;2;1;1.200 _;Piso
Sant Gervasi - Galvany;184;4;4;4.900 _;Piso
Fort Pienc;90;3;2;1.150 _;Piso
