Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Esquerra Baixa de l«Eixample;77;4;1;1.075 Û;Piso
Putget - Farr—;78;2;1;1.100 Û;Piso
Putget - Farr—;110;3;1;950 Û;çtico
Esquerra Alta de l«Eixample;81;3;2;1.300 Û;Piso
Sagrada Fam’lia;60;3;2;1.000 Û;Piso
Les Corts;122;4;3;2.280 Û;Piso
Bes˜s - Maresme;71;3;1;800 Û;Piso
Esquerra Alta de l«Eixample;80;2;2;1.100 Û;Piso
Poble Sec;30;;1;600 Û;Loft
Sagrada Fam’lia;70;3;1;900 Û;Piso
Sant Gervasi - Galvany;149;3;2;3.600 Û;Piso
Camp de l«Arpa;65;2;1;1.050 Û;Apartamento
Barceloneta;50;2;1;850 Û;Piso
G˜tic;103;2;1;1.600 Û;Piso
Camp de l«Arpa;100;4;2;1.250 Û;Piso
Camp de l«Arpa;63;;1;800 Û;Piso
Barceloneta;36;;1;600 Û;Piso
Putget - Farr—;80;3;1;950 Û;Piso
St. Pere - Sta. Caterina - El Born;90;;1;1.070 Û;Piso
Sagrada Fam’lia;105;3;2;1.300 Û;Piso
Barceloneta;40;2;1;800 Û;çtico
Sant Gervasi - Galvany;102;3;2;1.400 Û;Piso
Sagrada Fam’lia;80;4;1;990 Û;Piso
Sant Antoni;80;3;2;1.200 Û;Piso
Esquerra Baixa de l«Eixample;90;3;1;1.000 Û;Piso
Dreta de l«Eixample;87;2;2;1.360 Û;Piso
Putget - Farr—;130;4;3;1.700 Û;Piso
Esquerra Baixa de l«Eixample;150;4;2;2.100 Û;Piso
Fort Pienc;85;3;2;1.150 Û;Piso
Tres Torres;147;4;3;3.100 Û;Piso
Dreta de l«Eixample;60;;1;950 Û;Apartamento
Sagrada Fam’lia;75;3;1;950 Û;Piso
Vila de Grˆcia;82;2;1;1.100 Û;Piso
Camp d«en Grassot - Grˆcia N.;70;3;1;890 Û;Piso
Dreta de l«Eixample;152;4;2;2.500 Û;Piso
Sant Ramon - Maternitat;70;3;2;1.000 Û;Piso
St. Pere - Sta. Caterina - El Born;115;2;2;2.900 Û;Piso
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 Û;Piso
Gl˜ries El Parc;68;2;1;1.100 Û;Piso
Dreta de l«Eixample;180;2;2;3.500 Û;Piso
Sagrada Fam’lia;90;4;2;1.000 Û;Piso
Font de la Guatlla;70;2;1;900 Û;Apartamento
Sant Gervasi - Galvany;139;3;1;1.600 Û;Piso
Tres Torres;143;4;3;2.150 Û;Piso
Dreta de l«Eixample;140;4;3;2.100 Û;Piso
Dreta de l«Eixample;55;;1;990 Û;Apartamento
Navas;71;3;1;1.000 Û;Piso
St. Pere - Sta. Caterina - El Born;56;;1;890 Û;Piso
El Coll;67;2;1;700 Û;Piso
Esquerra Alta de l«Eixample;95;3;2;1.300 Û;Piso
Sant Gervasi - Galvany;220;5;3;3.200 Û;Piso
Tres Torres;201;4;2;3.750 Û;Piso
Camp d«en Grassot - Grˆcia N.;95;4;1;1.125 Û;Piso
Camp de l«Arpa;72;2;1;800 Û;Piso
Pedralbes;172;4;3;2.500 Û;Piso
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 Û;Piso
Poble Sec;70;3;1;1.200 Û;Planta
Sants;50;2;1;700 Û;çtico
Pedralbes;172;4;3;2.500 Û;Piso
G˜tic;39;;1;725 Û;Piso
Esquerra Alta de l«Eixample;90;3;2;1.300 Û;Piso
Vila Ol’mpica;169;3;2;1.500 Û;Piso
Raval;50;2;1;940 Û;Piso
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 Û;Apartamento
Poblenou;115;3;2;1.440 Û;Piso
La Salut;70;2;1;900 Û;Piso
G˜tic;60;2;1;1.100 Û;Piso
Poble Sec;70;3;1;900 Û;Piso
Dreta de l«Eixample;90;3;1;1.030 Û;Piso
Dreta de l«Eixample;88;2;1;1.350 Û;Piso
Sants;42;2;1;700 Û;Piso
Sant Gervasi - Bonanova;100;3;2;1.300 Û;Piso
Sant Gervasi - Galvany;193;4;3;3.500 Û;Piso
Sant Gervasi - Galvany;117;2;2;1.800 Û;Piso
Guinard—;45;;1;690 Û;Piso
Les Corts;110;3;2;1.500 Û;Piso
Sagrada Fam’lia;40;;1;850 Û;Piso
Raval;74;2;1;1.350 Û;Piso
Les Corts;100;3;2;1.100 Û;Piso
Sants;49;2;1;800 Û;Piso
Camp d«en Grassot - Grˆcia N.;101;2;2;1.490 Û;çtico
St. Pere - Sta. Caterina - El Born;153;3;2;1.900 Û;Piso
Dreta de l«Eixample;85;3;1;900 Û;Piso
Font d«en Fargas;97;4;2;1.300 Û;Piso
Sant Antoni;102;3;1;1.100 Û;Piso
G˜tic;90;2;1;830 Û;Piso
Camp d«en Grassot - Grˆcia N.;85;2;1;1.260 Û;çtico
Sagrada Fam’lia;125;3;2;1.406 Û;Piso
Pedralbes;180;3;2;2.200 Û;çtico
Sagrada Fam’lia;115;3;2;1.350 Û;Piso
Sants;65;3;1;880 Û;Piso
Les Corts;120;2;1;1.200 Û;Piso
Sant Gervasi - Galvany;184;4;4;4.900 Û;Piso
